54.159.243.126,1425117797504,1406,/HotelApp/,200,OK,testhotelapp 1-4,text,true,17213,826
54.159.243.126,1425117797494,1397,/HotelApp/,200,OK,testhotelapp 1-2,text,true,17213,844
54.159.243.126,1425117797511,1381,/HotelApp/,200,OK,testhotelapp 1-1,text,true,17213,827
54.159.243.126,1425117797504,1384,/HotelApp/,200,OK,testhotelapp 1-3,text,true,17213,838
54.159.243.126,1425117798926,539,/HotelApp/SearchHotel.php,200,OK,testhotelapp 1-1,text,true,12015,275
54.159.243.126,1425117798916,558,/HotelApp/SearchHotel.php,200,OK,testhotelapp 1-4,text,true,12015,264
54.159.243.126,1425117799490,17,/__utm.gif,200,OK,testhotelapp 1-4,bin,true,411,16
54.159.243.126,1425117792375,1981,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",testhotelapp 1-4,,true,29639,1106
54.159.243.126,1425117799502,17,/__utm.gif,200,OK,testhotelapp 1-1,bin,true,411,17
54.159.243.126,1425117791591,1937,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",testhotelapp 1-1,,true,29639,1119
54.159.243.126,1425117798917,620,/HotelApp/SearchHotel.php,200,OK,testhotelapp 1-2,text,true,12015,347
54.159.243.126,1425117798934,610,/HotelApp/SearchHotel.php,200,OK,testhotelapp 1-3,text,true,12015,335
54.159.243.126,1425117799544,57,/__utm.gif,200,OK,testhotelapp 1-2,bin,true,411,57
54.159.243.126,1425117791888,2074,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",testhotelapp 1-2,,true,29639,1248
54.159.243.126,1425117799618,4,/__utm.gif,200,OK,testhotelapp 1-3,bin,true,411,4
54.159.243.126,1425117792103,1998,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",testhotelapp 1-3,,true,29639,1177
54.159.243.126,1425117799520,709,/HotelApp/SelectHotel.php,200,OK,testhotelapp 1-1,text,true,16967,444
54.159.243.126,1425117800230,4,/__utm.gif,200,OK,testhotelapp 1-1,bin,true,411,4
54.159.243.126,1425117799507,731,/HotelApp/SelectHotel.php,200,OK,testhotelapp 1-4,text,true,16967,461
54.159.243.126,1425117800238,3,/__utm.gif,200,OK,testhotelapp 1-4,bin,true,411,3
54.159.243.126,1425117799601,728,/HotelApp/SelectHotel.php,200,OK,testhotelapp 1-2,text,true,16967,463
54.159.243.126,1425117800330,3,/__utm.gif,200,OK,testhotelapp 1-2,bin,true,411,2
