54.237.2.171,1437290247423,804,/HotelApp/,200,OK,searchadactin 1-1,text,true,1853,804
54.237.2.171,1437290248257,271,/HotelApp/css/main.css,200,OK,searchadactin 1-1,text,true,1159,271
54.237.2.171,1437290248529,277,/HotelApp/js/login.js,200,OK,searchadactin 1-1,text,true,601,276
54.237.2.171,1437290248806,271,/HotelApp/img/AdactIn_logo.png,200,OK,searchadactin 1-1,bin,true,10088,271
54.237.2.171,1437290249078,271,/HotelApp/img/Hotel2.jpg,200,OK,searchadactin 1-1,bin,true,4547,271
54.237.2.171,1437290249350,258,/HotelApp/img/header-bg.jpg,200,OK,searchadactin 1-1,bin,true,681,258
54.237.2.171,1437290249609,264,/HotelApp/img/Hotel4.jpg,200,OK,searchadactin 1-1,bin,true,3172,264
54.237.2.171,1437290249874,259,/HotelApp/img/Hotel1.jpg,200,OK,searchadactin 1-1,bin,true,4729,259
54.237.2.171,1437290250136,261,/HotelApp/img/hotel.jpg,200,OK,searchadactin 1-1,bin,true,24978,259
54.237.2.171,1437290250398,515,/HotelApp/img/Hotel3.jpg,200,OK,searchadactin 1-1,bin,true,48545,259
54.237.2.171,1437290246573,3451,OpenURL,200,"Number of samples in transaction : 10, number of failing samples : 0",searchadactin 1-1,,true,100353,3192
54.237.2.171,1437290250915,365,/HotelApp/,200,OK,searchadactin 1-1,text,true,2063,365
54.237.2.171,1437290251285,273,/HotelApp/js/search_hotel.js,200,OK,searchadactin 1-1,text,true,1100,273
54.237.2.171,1437290255539,282,/,200,OK,mentorpage 2-1,text,true,35371,99
54.237.2.171,1437290255780,71,/,200,OK,mentorpage 2-2,text,true,35371,48
54.237.2.171,1437290255828,39,/css,200,OK,mentorpage 2-1,text,true,595,39
54.237.2.171,1437290255867,2,/openmentor/od_css/header.css,200,OK,mentorpage 2-1,text,true,2112,2
54.237.2.171,1437290255870,3,/openmentor/od_js/indexSlideShow_1.js,200,OK,mentorpage 2-1,text,true,2099,3
54.237.2.171,1437290255885,13,/openmentor/od_js/loginUserCredits.js,200,OK,mentorpage 2-1,text,true,1520,13
54.237.2.171,1437290255899,2,/openmentor/js/feedback.js,200,OK,mentorpage 2-1,text,true,5703,2
54.237.2.171,1437290255901,2,/openmentor/od_js/recordedtraingvideos_1.js,200,OK,mentorpage 2-1,text,true,3160,2
54.237.2.171,1437290255904,26,/openmentor/od_js/jquery_004.js,200,OK,mentorpage 2-1,text,true,1108,26
54.237.2.171,1437290255884,48,/css,200,OK,mentorpage 2-2,text,true,595,48
54.237.2.171,1437290255931,2,/openmentor/od_js/osp_general.js,200,OK,mentorpage 2-1,text,true,5226,2
54.237.2.171,1437290255932,2,/openmentor/od_css/header.css,200,OK,mentorpage 2-2,text,true,2112,2
54.237.2.171,1437290255933,3,/openmentor/od_css/footer.css,200,OK,mentorpage 2-1,text,true,1018,3
